AMT_CREDIT,REGION_POPULATION_RELATIVE,DAYS_BIRTH,DAYS_EMPLOYED,DAYS_REGISTRATION,DAYS_ID_PUBLISH,EXT_SOURCE_1,EXT_SOURCE_2,EXT_SOURCE_3,DAYS_LAST_PHONE_CHANGE,CREDIT_INCOME_RATIO,CREDIT_ANNUITY_RATIO,CREDIT_GOODS_RATIO,INCOME_EXT_RATIO,CAR_EMPLOYED_RATIO,EXT_SOURCE_MEAN,OBS_30_CREDIT_RATIO,REGIONS_RATING_INCOME_MUL_0,DAYS_CREDIT_MEAN_OVERALL,AMT_CREDIT_SUM_MEAN_OVERALL,CURRENT_DEBT_TO_CREDIT_RATIO_MEAN_OVERALL,DAYS_CREDIT_MEAN_CREDITACTIVE_ACTIVE,CURRENT_DEBT_TO_CREDIT_RATIO_MEAN_CREDITACTIVE_ACTIVE,CURRENT_CREDIT_DEBT_DIFF_MEAN_CREDITACTIVE_ACTIVE,HOUR_APPR_PROCESS_START_MEAN_LAST_5,DAYS_DECISION_MEAN_LAST_5,SELLERPLACE_AREA_MEAN_LAST_5,INTEREST_SHARE_MEAN_LAST_5,INTEREST_RATE_MAX_FIRST_2,DAYS_PAYMENT_DIFF_MEAN_MEAN,DAYS_PAYMENT_DIFF_MIN_MEAN,DAYS_PAYMENT_DIFF_MAX_MEAN,TARGET,SK_ID_CURR,NAME_FAMILY_STATUS,CNT_CHILDREN,NAME_EDUCATION_TYPE,NAME_INCOME_TYPE,AMT_INCOME_TOTAL,NAME_CONTRACT_TYPE,AMT_GOODS_PRICE,NAME_HOUSING_TYPE,AGE,YEARS_WORKING,GENDER
1.1905236,-1.0012186,-0.75321007,0.8255848,0.3784177,-1.0273939,-1.1155745,1.2678573,-0.104306355,-2.5303905,0.013296199,1.6093469,0.60105866,-0.041601017,-0.0025531764,0.21044485,1.7947949,-0.2755931,-0.19935195,-0.2343737,-0.010803135,-0.3358651,-0.016790977,0.025750848,0.67917746,-0.21038774,-0.22551942,-0.7285898,0.16603673,-0.13732743,0.012700411,0.070780165,0,322903,Married,2,Secondary / secondary special,State servant,270000.0,Cash loans,900000.0,House / apartment,34,1,Man
-0.14665204,0.39937714,1.4807588,0.28256202,-1.573962,-0.80678344,0.012102936,-0.59073555,0.11206273,-2.23286,0.31320313,-0.118842535,-0.9760997,-0.061656628,-0.0025475207,-0.28209007,0.5183971,0.15766932,-2.1676733,-0.3435908,-0.010803135,-3.7902608,-0.016790975,-0.15472005,-0.83565193,-0.6542268,-0.21275362,-0.94135576,0.041507673,0.17435913,0.0641917,0.47712016,0,382948,Widow,0,Secondary / secondary special,Pensioner,112500.0,Cash loans,540000.0,House / apartment,61,-24,Man
-0.9292799,-0.01121463,-0.17965145,-0.7669701,-0.30142367,-2.0191472,1.6355541,0.5319823,0.8501618,-2.924679,-0.85172445,-1.4774885,-0.9760997,-0.06207477,-0.0025461493,1.4742098,-0.7622688,-0.384118,-0.36471683,-0.009368178,-0.010803135,-0.58379966,-0.016790975,-0.15472005,-0.8114147,0.6666796,-0.22454089,0.57223576,0.1553989,-0.1301778,0.101639904,-0.44592386,0,192142,Married,0,Secondary / secondary special,Working,135000.0,Cash loans,225000.0,House / apartment,41,10,Man
-0.9420256,-1.0535637,-1.0992243,0.2540065,0.7113839,0.32873103,1.97479,-2.2651365,-1.885147,1.1645516,-0.56309503,-0.667407,2.178218,-0.045198366,-0.0025617122,-1.4999393,-0.24082485,0.026662605,0.8395709,-0.30261964,-0.010803135,0.6940168,-0.016790977,-0.1861549,-0.7144653,0.38499203,-0.20420559,-0.15336818,0.02556888,-0.16213763,0.101639904,-0.15496428,0,339007,Married,1,Higher education,Commercial associate,90000.0,Cash loans,157500.0,Rented apartment,30,4,Man
-0.16725752,1.0789973,-1.468612,0.36261106,0.3769984,0.46652976,-0.4231347,0.052123826,0.21443743,-0.31463477,0.28579512,0.771922,0.28564295,-0.062066484,-0.0025460264,-0.035674572,-0.76226336,0.15766932,0.80474037,-0.3161513,-0.010803135,0.41151446,-0.016790975,-0.3409504,-0.13883035,-0.06848002,-0.20122503,-0.5924047,0.24114776,-0.37829947,-0.038790878,-0.27536133,0,234093,Single / not married,1,Secondary / secondary special,Commercial associate,112500.0,Cash loans,459000.0,House / apartment,26,4,Man
-0.35907963,-1.0599985,1.419347,0.28256202,-1.1972815,-1.0830433,2.313,-0.066409305,0.59422857,0.8029189,2.2100375,1.1999062,-0.9760997,-0.069862984,-0.0025475207,1.2753447,0.3156249,3.1941118,0.022332856,-0.14172196,-0.010803135,0.67256093,-0.016790975,-0.27034086,-0.2297201,0.91581607,0.41642627,-0.16915244,0.011898351,0.14342374,0.24207069,-0.09476577,0,428408,Married,0,Secondary / secondary special,Pensioner,45900.0,Cash loans,454500.0,House / apartment,60,-24,Man
-0.37026003,-0.66263765,1.5923542,0.28256202,-1.2441182,-0.92338234,0.012102936,1.2403933,0.78519636,-0.8044717,-0.23208219,-0.1346032,-0.9760997,-0.06186168,-0.0025475207,1.1582792,0.3049526,0.026662605,0.8913373,-0.16557115,-0.010803133,0.013388816,-0.016790975,-0.16021657,0.8609569,-1.3771367,-0.18890911,0.29220894,0.09738693,0.03329208,0.20462249,-0.69675094,0,199848,Married,0,Secondary / secondary special,Pensioner,135000.0,Cash loans,450000.0,House / apartment,62,-24,Man
-0.818594,0.84539586,-1.1083905,0.6327181,0.9793464,-0.41657454,0.012102936,1.0629284,0.7287055,1.1645516,-1.025968,-1.1443887,0.60105866,-0.053229887,-0.0025528867,1.0233974,-0.76226646,0.15766932,1.1134216,-0.0046274057,-0.010803135,0.7250086,-0.016790977,0.5949967,0.8609569,-3.56657,1.4995514,-0.31663468,-0.06648067,-0.29710284,0.054829646,-0.69675094,0,389132,Married,2,Secondary / secondary special,Commercial associate,225000.0,Cash loans,225000.0,House / apartment,30,2,Man
-0.20255403,0.56357044,-1.6326822,0.7544301,-0.87708896,0.9441878,-1.7102028,0.2760406,0.11206273,0.9903874,-0.66466266,-0.4169497,-0.9760997,-0.04746151,-0.0025512683,-0.5123075,0.46503603,-0.1511142,0.053351644,-0.18896604,-0.010803135,0.18145983,-0.016790975,-0.15472005,0.061127182,1.0534967,-0.2231912,0.2962427,0.0555449,-0.07899902,0.20462249,-0.78704876,0,289597,Married,0,Higher education,Working,238500.0,Cash loans,517500.0,House / apartment,24,1,Man
0.07695593,0.56357044,0.04537239,0.6303775,-0.46066836,0.8799259,0.012102936,-0.0946787,0.9321109,0.22358105,-0.2609028,-0.36337408,-0.9760997,-0.057134505,-0.0025494741,0.4516924,0.73184156,0.41843992,0.69673395,-0.39794794,-0.010803135,-0.22858575,-0.016790977,-0.3154586,0.061127182,0.9530831,0.37121168,-1.0340067,-0.004426703,-0.21520731,0.14845017,-0.7268502,0,390108,Married,0,Secondary / secondary special,Working,193500.0,Cash loans,630000.0,House / apartment,44,2,Man
-0.25791937,-0.20526777,0.15467633,-1.4228106,-0.2835406,1.8226547,0.012102936,-1.8626851,0.11206273,-0.7621401,0.16520269,-1.1401703,0.28562775,-0.061656628,-0.0025458825,-1.030683,0.4121872,-1.3714309,0.7369967,0.2815163,-0.010803135,0.18145983,-0.016790975,-0.15472005,0.13383892,-1.3167504,-0.19430788,0.86100835,0.21716045,-0.4039953,0.054829646,-0.99774355,0,451381,Married,0,Secondary / secondary special,Working,112500.0,Cash loans,427500.0,House / apartment,45,14,Man
-0.6724662,0.12702295,1.6810346,0.28256202,-2.2293913,1.6292064,2.863595,0.38351032,1.1412007,0.5344158,-0.11490781,-0.686534,-0.13489996,-0.06674118,-0.0025475207,2.071522,0.016482465,0.34036085,-0.7191729,-0.30042487,-0.010803135,0.18145983,-0.016790975,-0.15472005,-0.08429664,0.48966157,0.15512653,0.17301892,-0.009036908,-0.26535904,0.096958876,-0.8321976,0,221553,Separated,0,Secondary / secondary special,Pensioner,90000.0,Cash loans,297000.0,House / apartment,64,-24,Man
-0.8018793,0.12702295,1.39437,0.28256202,-1.8050228,0.21809454,0.012102936,0.15226527,0.11206273,0.17762104,0.15904501,-0.4261937,0.28559735,-0.06723328,-0.0025475207,0.15519464,-0.10704852,0.1977866,0.053351644,-0.18896604,-0.010803135,0.18145983,-0.016790975,-0.15472005,1.0427364,1.1435586,0.5898613,0.092133015,-0.0028639091,-0.019460067,0.03610554,-0.15496428,0,387315,Civil marriage,0,Secondary / secondary special,Pensioner,63000.0,Cash loans,238500.0,House / apartment,60,-24,Man
0.8528756,-0.08524986,1.1840117,0.5367528,-1.6508876,-1.0790684,0.012102936,0.7255977,-1.8535068,-1.6777116,2.0673542,1.1827966,2.178218,-0.043208692,-0.00254869,-0.5664062,1.4724939,-0.20006101,-0.68298435,-0.3135145,-0.010803135,0.15166,-0.016790975,-0.3556307,1.2245159,-2.622819,-0.120074995,-0.19692945,-0.06803659,0.27299032,0.2607948,-0.33555987,0,101033,Widow,0,Secondary / secondary special,Commercial associate,99000.0,Cash loans,675000.0,House / apartment,58,3,Man
-1.152888,-0.044978768,0.48144212,-0.13266322,0.54078484,0.8567386,0.012102936,-0.98774403,1.0033815,-0.8939727,-0.5419033,-0.20607547,-0.9760997,-0.06961835,-0.002546688,-0.03551192,-0.762269,-0.21124414,0.98662585,-0.25344163,-0.010803135,0.68448085,-0.016790975,-0.25663137,-1.8293798,0.24121524,-0.15030803,0.95928186,0.30371106,-0.20917028,0.022062464,-0.03456725,0,107580,Married,0,Secondary / secondary special,Working,54000.0,Revolving loans,135000.0,House / apartment,49,6,Man
-0.89238465,-0.08524986,-0.6070134,0.19268236,1.1045281,-0.99228173,-1.6919411,-1.7918297,1.3197399,1.1645516,-0.90519077,-1.4769349,-0.45038024,-0.061604146,-0.0025472722,-1.070796,-0.19344018,0.07166868,0.029522633,-0.40262267,-0.010803135,0.18145983,-0.016790975,-0.15472005,-0.83565193,-1.5634714,-0.16236524,0.14552887,0.1919227,0.6630785,0.21710522,0.687815,0,116941,Married,1,Secondary / secondary special,Working,157500.0,Cash loans,225000.0,House / apartment,36,5,Man
1.6110855,-0.9939886,-1.3343308,0.53628474,0.2555069,0.30090627,-1.0242847,0.81842643,-1.6341048,0.1377084,1.9641284,0.4519985,-0.28213707,-0.0389603,-0.002547899,-0.8390618,2.1962414,0.026662605,0.80274796,-0.19050854,-0.010803135,0.67494494,-0.016790975,-0.30060345,0.0126526905,0.5822539,-0.18058603,-0.2811073,-0.07260025,0.04300958,0.23270865,-0.69675094,0,421304,Married,0,Secondary / secondary special,Commercial associate,135000.0,Cash loans,1147500.0,House / apartment,27,3,Man
-0.70567197,0.56357044,-0.79491514,0.4506182,0.86580294,-0.8637579,-0.83169955,-0.12769662,0.11206273,1.1645516,-0.60386753,-1.119469,-0.9760997,-0.059121784,-0.0025478452,-0.37229,-0.7622622,0.026662605,0.5304789,0.011737945,-0.010803135,0.00027689416,-0.016790975,0.27746773,0.13383892,0.42237404,0.78421646,-0.20141837,-0.005249293,-0.13051714,-0.0013426675,0.50721943,0,332750,Married,0,Secondary / secondary special,State servant,135000.0,Cash loans,315000.0,Office apartment,34,3,Man
-1.1749245,1.0789973,0.4525696,0.9341894,-0.9185323,0.95478773,-2.248329,0.9459283,-0.032079294,0.2634937,-1.0545359,-0.31194225,2.8091652,-0.061030827,-0.0025485451,-0.42703322,-0.4631379,0.15766932,-0.009973163,-0.34540433,-0.010803135,0.18145983,-0.016790975,-0.15472005,-0.73870265,0.6673697,-0.21954705,-1.7223017,0.007344862,0.305382,0.16717428,-0.15496428,0,128013,Single / not married,0,Secondary / secondary special,Working,112500.0,Cash loans,85500.0,House / apartment,49,0,Man
0.18875991,-0.8454121,0.9257611,0.7825175,0.27906716,-0.4125996,0.012102936,-1.1977049,-0.3614684,-0.7560927,2.0141213,1.1995901,-0.9760997,-0.06473625,-0.0025519019,-0.89444953,0.83856386,0.48857382,1.354359,-0.17807329,-0.010803135,0.7703043,-0.016790975,-0.1235189,0.49739793,-3.5544927,-0.22872494,-3.5724113,-11.484743,-0.54175514,-1.4056505,-0.24526209,0,408735,Single / not married,0,Secondary / secondary special,Working,72000.0,Cash loans,675000.0,House / apartment,55,1,Man
-0.9292799,0.31059277,0.32424623,0.753962,-0.4583975,1.3257843,0.012102936,-1.3215564,0.11206273,1.0423948,-0.37788036,-0.20607547,-0.9760997,-0.06571238,-0.0025512588,-0.7122073,-0.22865853,0.022618096,0.053351644,-0.18896604,-0.010803135,0.18145983,-0.016790975,-0.15472005,-1.9748034,1.0200256,-0.22454089,-1.1527425,-0.050837517,0.34813896,0.28888094,-0.24526209,0,131770,Widow,0,Secondary / secondary special,Commercial associate,76500.0,Revolving loans,225000.0,House / apartment,47,1,Man
-0.817476,-0.81837183,-0.40902916,0.4543632,-0.29461107,-0.2867258,0.98819643,0.4487711,0.11206273,0.7484926,-0.8340204,-0.20607547,-0.9760997,-0.056586944,-0.002549903,0.74928296,-0.121936284,0.07166868,0.053351644,-0.18896604,-0.010803135,0.18145983,-0.016790975,-0.15472005,1.4668884,0.9623998,1.4590608,-0.29895017,-0.07768774,-0.28155485,0.14845017,-0.69675094,0,243409,Married,2,Higher education,Working,157500.0,Revolving loans,270000.0,House / apartment,39,3,Man
2.2012317,-0.19225387,0.92553204,0.28256202,0.76900715,-0.27016342,0.012102936,-0.01171607,0.40658674,-0.26867476,0.41615897,1.8853508,-0.9760997,-0.044268183,-0.0025475207,0.21737221,-0.76225203,0.23258825,0.6645238,-0.2294859,-0.010803133,0.008024848,-0.016790975,-0.31228724,-1.2476854,0.250877,-0.16110553,2.4362683,0.2563922,0.17702344,0.101639904,0.20622683,0,133464,Married,0,Secondary / secondary special,Pensioner,292500.0,Cash loans,1485000.0,House / apartment,55,-24,Man
